# --------------------------------------------------------
# Using UniformRandom0:
0 31.3159
0.01 103.604
0.02 103.604
0.03 103.604
0.04 104.609
0.05 104.609
0.06 104.59
0.07 105.615
0.08 106.641
0.09 106.621
0.1 106.582
0.2 111.563
0.3 114.258
0.4 119.346
0.5 124.512
0.6 127.236
0.7 131.182
0.8 135.127
0.9 141.172
1 142.441
2 172.324
3 200.078
4 225.586
5 247.813
6 272.188
7 296.563
8 315.84
9 337.969
10 362.109
11 384.238
12 1370.47
13 1378.13
14 1371.64
15 1385.78
16 1393.44
17 1393.44
18 1415.39
19 1415.39
20 1408.75
30 1424.06
40 1439.38
50 1447.03
60 1432.5
70 1447.42
80 1455
90 1470
100 1470
1000 1515.62
10000 1531.25
100000 1530.78
1e+06 1531.25
1e+07 1546.88
1e+08 1530.78
